mouse1	mouse2	mouse3
156.6814	126.1773	128.3712
181.5975	115.7085	203.6217
127.2079	194.3767	194.5967
161.8421	141.0082	172.6778
158.4854	173.6413	149.9393
175.3920	167.5001	189.7895
132.0166	139.1459	165.3317
144.2801	168.7555	133.7417
154.2979	126.0180	169.5492
177.0769	154.0509	199.1954
181.0118	154.0695	161.9201
155.7410	154.1905	179.4628
158.3846	167.6988	141.7646
147.1709	145.9534	150.2319
154.6571	146.6613	157.2746
128.7533	171.4066	182.0665
160.6322	182.2794	182.5501
181.6348	158.1795	151.2737
167.9401	170.1214	179.9596
160.8188	173.6504	104.8939
123.6035	192.0079	158.2009
179.7392	150.0201	152.7982
189.0142	170.4280	129.5112
116.8653	136.4542	174.9158
147.1264	174.4016	113.9594
146.5285	185.2117	162.1435
173.0661	126.8699	187.1212
155.5038	171.5102	152.0246
162.6524	167.3966	147.9284
190.7421	149.6955	181.9631
146.5047	173.6176	188.5360
193.3026	128.4485	199.7474
175.2147	143.3778	134.6568
136.9552	138.0507	171.3840
163.9465	190.8019	184.1215
170.3273	159.3066	177.7923
159.8734	123.4760	151.4802
162.6891	142.7537	168.4999
158.4865	160.1460	154.1554
165.9628	164.9319	171.6391
180.1435	134.1838	148.4760
138.3994	170.2521	176.6841
154.8130	191.6627	153.4410
179.7793	125.1485	178.9835
160.1722	147.9876	130.9833
172.6123	164.6148	174.4177
158.9782	158.3872	186.6810
141.8828	177.8071	174.3482
181.2900	176.0171	157.2303
149.0762	139.4011	193.2611
179.7321	164.9215	162.3139
125.0849	158.6154	182.1230
179.3185	102.1370	170.4805
147.3230	139.2504	150.6645
156.8074	181.2743	163.5245
166.7611	146.0972	163.9019
131.8250	138.2060	179.3968
180.5858	177.4955	162.7247
159.8350	135.8543	174.0211
199.2201	174.1746	157.4810
165.1182	182.0027	163.8486
183.4529	132.2654	196.0999
158.1882	190.9042	192.7046
188.3782	142.4083	166.9040
172.9944	166.0768	140.5812
176.2562	167.4588	136.3279
175.1014	167.7134	182.1511
150.1594	164.1009	154.2813
158.4771	165.0754	166.5432
199.0045	161.5166	174.5303
108.1456	161.7255	180.4494
195.0757	153.9920	166.6544
156.2904	165.3251	184.9456
184.8900	129.3624	150.0278
