mouse1	mouse2	mouse3
 19.3969	 24.2066	 11.6146
 17.1693	 16.6805	 13.6434
  7.2194	 11.0456	 15.4599
  8.1131	 16.9038	 49.0034
 11.3514	 25.9321	 14.4442
 17.1252	 24.3565	 59.6990
 19.8984	 26.4061	  7.2244
 14.6022	 15.0836	  7.4059
  4.6983	 17.9816	 24.3200
 27.5127	  8.5059	 29.4820
  9.0483	  9.3199	 50.1357
 22.6273	 34.5792	 10.7497
 27.5535	 46.9456	 13.2752
 53.3747	  9.2829	 24.9100
 51.6575	 23.1912	 42.6182
  7.9272	 20.7881	 20.0309
  8.9017	 28.2239	 21.4603
  8.4282	 21.5363	 12.0187
 26.9988	  8.1024	 33.5959
  6.1091	 16.6545	 12.7561
 16.4781	 21.2324	 25.6859
 14.7291	  7.1366	 11.9756
 13.3461	 10.2346	  7.0226
 14.9766	 16.2961	 25.2637
 13.0289	 12.8231	  7.5129
 21.1479	  9.6975	 21.1581
 12.7597	 14.7097	 24.2683
 20.8362	 20.0699	 20.3720
 22.6100	 20.4526	 16.1127
 53.3962	  8.1025	 13.0071
 25.2101	  8.7811	 17.9427
 25.8544	 11.7792	 26.6874
  7.4126	 13.6833	 13.5623
 37.1904	 22.6444	 16.6807
  8.4197	 44.8043	 52.5878
 23.2260	  8.5510	 25.1262
 10.0641	 17.7051	 26.8723
 12.6170	 16.9326	 14.9553
  7.2714	 20.4671	 16.8766
 15.3711	 18.2563	 19.6239
 20.9277	 15.0656	  6.7656
 46.7993	  9.3215	 27.3874
  9.1349	 14.5511	  8.9031
 13.3666	 15.6621	 25.8499
 13.5650	  6.0394	 22.3726
 17.1330	 15.2757	  4.5915
 26.1126	  8.0606	 25.4972
 14.0421	 23.2170	 28.1353
 51.8188	 13.6043	 12.5382
  7.0391	 20.9096	 22.7058
 20.3919	 19.4683	 25.9722
 10.4430	 10.2163	 12.0943
 24.0964	 23.9587	 26.1077
 39.2825	 15.9641	 20.2266
 21.7543	 61.5110	 14.3385
 22.1824	 12.2344	 55.5686
 16.1476	 42.7083	 18.6953
 30.0617	 50.6064	 10.7715
 11.4011	 15.2501	  9.6230
  9.4559	 10.9639	  8.5653
 25.0337	 10.9179	 24.2780
 28.2440	 15.3517	 17.0744
 24.3828	 53.5200	 18.3469
  9.9288	 21.1180	 23.3702
 11.0072	 36.7622	  8.5462
 26.8760	 18.9661	 15.2732
 38.2530	 13.4031	 10.7919
 21.4440	 34.1765	  9.9316
 25.3273	 18.7880	 17.8658
 18.8114	 13.7842	 28.4185
 15.1134	 39.9735	 19.1356
 10.2704	 21.1518	 26.6188
  8.4470	 24.1262	  9.0977
 19.9261	 22.4237	 27.9882
 25.4717	  9.7429	 10.1854
