mouse1	mouse2	mouse3
  0.8374	  1.2307	  0.6866
  0.3646	  0.2935	  0.3446
  0.3153	  0.5719	  1.7735
  0.3444	  0.9028	  1.7323
  0.6343	  0.7718	  1.4393
  0.7657	  0.4681	  1.8151
  2.1789	  0.2792	  0.2071
  0.5283	  0.6023	  0.2516
  0.2693	  1.3265	  0.5479
  2.4183	  0.1871	  3.5381
  0.6461	  0.3997	  1.2000
  1.1151	  1.3693	  0.2248
  1.6531	  2.1509	  0.8279
  2.9599	  0.4727	  1.7948
  3.8594	  1.1665	  1.2141
  0.4980	  0.3328	  0.7923
  1.6237	  1.5356	  0.6331
  0.6603	  1.5452	  1.3526
  0.7358	  0.7503	  0.3971
  0.1143	  0.8419	  1.5379
  0.6827	  0.4497	  1.9548
  0.6611	  0.2021	  0.3875
  1.0469	  0.5828	  1.1454
  1.9260	  1.0299	  1.1073
  0.6538	  1.3485	  1.6049
  1.1552	  0.2093	  1.2736
  1.5427	  0.9948	  0.8638
  1.7478	  0.7946	  0.5320
  0.9692	  0.6473	  1.3031
  5.7049	  0.1595	  0.9787
  1.2213	  1.1860	  1.7492
  1.1694	  1.1875	  3.3400
  0.1389	  0.5598	  1.9026
  1.0881	  0.6829	  1.0193
  0.4852	  1.2862	  1.7909
  3.0943	  0.3785	  0.4834
  0.4091	  0.6330	  1.3507
  0.4636	  1.5922	  1.5475
  0.8131	  0.1598	  0.6330
  0.8136	  0.9026	  1.2205
  1.4768	  0.4575	  0.2205
  1.1417	  1.0877	  2.1904
  0.4173	  0.6218	  0.3957
  0.6749	  0.7429	  2.6106
  0.3439	  0.2822	  0.5415
  0.3165	  0.6369	  0.1701
  1.2715	  0.2740	  1.1225
  0.8236	  1.0553	  1.5740
  2.6847	  1.1534	  0.3007
  0.8795	  0.9384	  1.3266
  0.7471	  0.5216	  1.8018
  0.4564	  0.6432	  0.5171
  1.1837	  0.4160	  1.8509
  3.7022	  0.1971	  1.6050
  0.5157	  3.8955	  0.6733
  1.2729	  0.7209	  2.6473
  1.3244	  0.5938	  1.5396
  0.9689	  2.1945	  0.3199
  0.8759	  1.2142	  0.6092
  0.5584	  0.2712	  0.3253
  0.8634	  0.3675	  1.4516
  0.5473	  0.4839	  1.9909
  1.0116	  1.0532	  1.3800
  0.3220	  1.3102	  0.6149
  0.3653	  0.9415	  0.3310
  0.9363	  0.4285	  1.1315
  1.0364	  0.9923	  0.5746
  1.4240	  1.9230	  0.8367
  1.6969	  3.0653	  0.5400
  0.6491	  0.6585	  0.5623
  1.1587	  2.0089	  0.4110
  0.2349	  1.7006	  0.8069
  0.1573	  0.4966	  1.3541
  1.1600	  3.9628	  1.9671
  2.1354	  0.3049	  0.3950
  0.9012	  1.0932	  0.9216
  1.1720	  0.8570	  0.1365
  0.7595	  1.6585	  1.6752
  0.4279	  0.6138	  1.0662
  0.6965	  0.3898	  1.2600
  1.4753	  0.7830	  1.2579
  4.0453	  1.0438	  1.8480
  0.8932	  1.0072	  0.4677
  1.4319	  1.0131	  1.0760
  1.5535	  1.0714	  0.3012
  1.8195	  2.2297	  0.3563
  0.3887	  0.3842	  0.6983
  1.3010	  0.3423	  0.5443
  1.6040	  0.2082	  0.9535
  1.3247	  1.1376	  0.3435
  0.7507	  0.3214	  0.2296
  1.7388	  1.0316	  0.2200
  0.8712	  0.6620	  0.2394
  1.0018	  0.4384	  2.9109
  0.3965	  0.7624	  0.5263
  0.1467	  0.7371	  1.1686
  1.0931	  2.2226	  0.5667
  0.3875	  0.7604	  0.7256
  1.0936	  1.7524	  0.7363
  1.0015	  1.0916	  0.3923
  0.6517	  0.9953	  2.8830
  1.3526	  1.2865	  1.3590
  1.3434	  0.6974	  1.2696
  0.6379	  1.4010	  1.1296
  0.6831	  1.4265	  1.9206
  3.1313	  2.4487	  0.9607
  0.5779	  0.3612	  0.8307
  0.5357	  0.5759	  2.0544
  0.3476	  1.0473	  0.8897
  0.9577	  0.4937	  3.2516
  0.2844	  0.8100	  2.3679
  0.4190	  1.8008	  1.1686
  0.4344	  1.0405	  0.6330
  0.3514	  0.4649	  1.7571
  0.8254	  0.5798	  0.6629
  0.8653	  0.5918	  0.4651
  0.2255	  1.0256	  0.8072
  1.5153	  1.0733	  0.6214
  0.6674	  0.1634	  0.7075
  3.9885	  0.3768	  1.0455
  0.2529	  0.2022	  0.0685
  1.4161	  0.5502	  0.4914
  0.6090	  0.0818	  1.4491
  0.4026	  0.3847	  1.5393
  0.4183	  0.5588	  0.9680
  0.4293	  1.4241	  0.8900
  0.9793	  1.6642	  0.7369
  0.5722	  0.4592	  1.1813
  0.5138	  0.9723	  1.1382
  0.4868	  0.6868	  0.5265
  0.9098	  1.1107	  2.6663
  0.5707	  0.3814	  1.1895
  0.9745	  0.7118	  1.3093
  0.6219	  1.6985	  0.7236
  1.3625	  0.1123	  0.6424
  0.9285	  1.2074	  0.4823
  0.4987	  0.4293	  1.5342
  0.6567	  0.2965	  3.7275
  0.4925	  0.6258	  0.6380
  0.7322	  0.6728	  0.7889
  0.7142	  1.9482	  0.9739
  0.7245	  0.8815	  1.1248
  0.5479	  0.3027	  0.8469
  0.7546	  1.0734	  0.2550
  1.1425	  0.9455	  2.0025
  0.5714	  0.3515	  0.7553
  0.3440	  1.1468	  0.5873
  1.2161	  0.7072	  1.6467
  1.4897	  0.3221	  0.1625
  1.0478	  0.2780	  0.9920
  0.5172	  1.1292	  1.3818
  1.6166	  0.9304	  0.7574
  1.2216	  1.3019	  1.7888
  0.6435	  0.2750	  0.7184
  3.2271	  0.7845	  0.7923
  2.1812	  0.4584	  0.3212
  0.6789	  0.5498	  1.2921
  0.5999	  1.2470	  0.5455
  0.4893	  1.3245	  0.8255
  0.3422	  2.3852	  3.3854
  1.2888	  1.2001	  0.5516
  0.9943	  1.9086	  0.4360
  0.4875	  1.4617	  4.2153
  1.4783	  0.6708	  0.9405
  1.2523	  0.6832	  0.4215
  1.2468	  0.6974	  1.3698
  2.1298	  1.1985	  2.0225
  0.1466	  0.3313	  0.6777
  0.4299	  0.8089	  1.0493
  1.6915	  0.7185	  1.1314
  1.3431	  1.0983	  2.2314
  1.3002	  0.8302	  0.6377
  1.2927	  0.9982	  2.3947
  1.0677	  0.4026	  0.2389
  1.1222	  0.8934	  1.9521
  1.9047	  2.3251	  1.0839
  0.4428	  0.7162	  0.5488
  0.7100	  0.3883	  0.5204
  3.6601	  1.2769	  1.4769
  0.2999	  0.9611	  0.9434
  0.9053	  0.4011	  0.7286
  0.1262	  0.2699	  0.9106
  1.8820	  0.6909	  0.6175
  1.1398	  1.1544	  0.7189
  1.7269	  0.2395	  0.2494
  0.6925	  0.9704	  0.8903
  1.1462	  0.9364	  0.7608
  0.4547	  0.5758	  0.8464
  0.1803	  0.7805	  0.8995
  0.4674	  1.1825	  0.7709
  0.9298	  0.6516	  0.5793
  0.5093	  1.5567	  0.3384
  0.6664	  0.8198	  0.4231
  0.6072	  0.6259	  0.6566
  0.3802	  0.4790	  2.0102
  1.2964	  0.3431	  0.3891
  1.2663	  0.7837	  0.5235
  0.1073	  1.7753	  1.7289
  2.0031	  0.8218	  0.5378
  0.5426	  0.8377	  1.0119
  0.1584	  0.1994	  1.0914
  0.9761	  0.3882	  1.2224
  1.1188	  1.8771	  0.2509
  0.3540	  0.2137	  1.0921
  2.5061	  1.3214	  2.1637
  2.2500	  1.8593	  1.5172
  1.6276	  1.2942	  0.2686
  1.5624	  0.3185	  0.3186
  0.6611	  0.5254	  1.0552
  1.6343	  1.0290	  1.4536
  0.9815	  1.8577	  1.1589
  0.4548	  1.0358	  0.3628
  0.9634	  2.8940	  1.3519
  0.8612	  0.4506	  0.4454
  0.6800	  1.9456	  1.0000
  0.1795	  1.8458	  1.2808
  0.6592	  4.5681	  1.6789
  0.3785	  1.2308	  0.5915
  0.2100	  2.4977	  1.6274
  0.5767	  1.9205	  1.5317
  1.5446	  0.4564	  2.4004
  0.6345	  1.5341	  1.7337
  1.3998	  0.1740	  1.3450
  0.9724	  0.7996	  2.4219
  1.2303	  2.2118	  1.8310
  0.3884	  0.2327	  0.8193
  1.9368	  0.7785	  0.9081
  1.1193	  0.8493	  1.3936
  0.3986	  2.0815	  1.1742
  0.1872	  0.6099	  0.6104
  1.4864	  1.3314	  0.6646
  1.2735	  0.3996	  1.9620
  0.4509	  0.5184	  2.0961
  2.5779	  0.4253	  2.8243
  0.7244	  0.3924	  0.6227
  0.2810	  0.1826	  1.9334
  1.8213	  1.0972	  1.3480
  0.8646	  0.4895	  0.8323
  0.4911	  0.9831	  0.2437
  1.1594	  1.7057	  0.8941
  0.7110	  0.4051	  0.1218
  1.3440	  0.7226	  1.4178
  0.2516	  3.0652	  0.7561
  1.4119	  0.6400	  0.4955
  0.2604	  0.8978	  4.2584
  0.4612	  0.4510	  0.7070
  0.4640	  0.5684	  0.3597
  0.3400	  0.3742	  0.4000
  1.0485	  0.6175	  0.9976
  0.4692	  0.6056	  0.6872
  0.3328	  0.7878	  1.7189
  0.5326	  0.4650	  0.5653
